Gage_no,Gage_name,Lat_nwis,Long_nwis,flowpath_id,divide_id,NSE,KGE,PBIAS,RMSE
01031500,Piscataquis River,45.175,-69.3147222,wb-2467,cat-2467,0,0,1,1
01078000,Smith River,43.56646307,-71.747857,wb-13105,cat-13105,1,1,0,0
04122500,Pere Marquette River,43.9450063,-86.2786896,wb-649865,cat-649865,1,0,1,0
03366500,Muscatatuck River,38.80422346,-85.673855,wb-824302,cat-824302,0,1,0,1
02246000,North Fort Black Creek,30.1132953,-81.9064915,wb-421842,cat-421842,0,0,0,0
03488000,North Fork Holston River,36.89678115,-81.7462293,wb-1018374,cat-1018374,1,0,0,0
07145700,Slate Creek,37.24946707,-97.4036569,wb-2171352,cat-2171352,1,0,0,1
07056000,Buffalo River,35.98305556,-92.7472222,wb-2196900,cat-2196900,1,0,1,1
08101000,Cowhouse Creek,31.2848902,-97.8850244,wb-2421351,cat-2421351,1,1,0,1
09081600,Crystal River ABV Avalanche Creek,39.23263889,-107.2275,wb-2622277,cat-2622277,1,1,1,1
14182500,Little North Santiam River,44.7915108,-122.5789738,wb-3045546,cat-3045546,0,0,0,1
14305500,Siletz River,44.7151172,-123.8873348,wb-3053035,cat-3053035,0,0,1,0
12095000,South Prairie Creek,47.13954628,-122.0926135,wb-3057378,cat-3057378,0,1,0,0
11143000,Big Sur River,36.24579648,-121.7732872,wb-3319424,cat-3319424,0,1,1,0
11264500,Merced River,37.73131496,-119.5590514,wb-3313417,cat-3313417,0,-1,-1,1
